SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,CDFGBlock,IncludeSiteSheet,IncludeDrop,IncludeDropDetail,IncludeHook,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,HookswithFish,ValidHook,Anemone unid,Bank Rockfish,Barred Sand Bass,Blackgill Rockfish,Blue Rockfish,Bocaccio,Bronzespotted Rockfish,Brown Rockfish,Brown Smoothhound,Calico Rockfish,California Market Squid,California Scorpionfish,California Sheephead,California Yellowtail,Canary Rockfish,Chilipepper,Copper Rockfish,Cowcod,Flag Rockfish,Freckled Rockfish,Giant plumose anemone,Gopher Rockfish,Gorgonian unident (coral),Gray Smoothhound,Greenblotched Rockfish,Greenspotted Rockfish,Greenstriped Rockfish,Halfbanded Rockfish,Honeycomb Rockfish,Humboldt Squid,Invert Unidentified,Lingcod,Lizardfish,Mexican Rockfish,Ocean Whitefish,Olive Rockfish,Pacific Bonito,Pacific Jack Mackerel,Pacific Mackerel,Pacific Sardine,Petrale Sole,Pink Rockfish,Pinkrose Rockfish,Rosethorn Rockfish,Rosy Rockfish,Sanddab Unidentified,Sharpchin Rockfish,Shortbelly Rockfish,Silvergray Rockfish,Southern Rock Sole,Speckled Rockfish,Spiny Dogfish,Spiny Sea Star,Squarespot Rockfish,Starry Rockfish,Stripetail Rockfish,Swordspine Rockfish,Treefish,Unknown Fish,Vermilion Rockfish,White Croaker,Whitespeckled Rockfish,Widow Rockfish,Yelloweye Rockfish,Yellowtail Rockfish
2004,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.6,42.8333327,43,12,12,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
2005,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42,42.2,43,5,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2006,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.7,43.10000038,43.4,6,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.4,42.42857252,42.5,7,7,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2008,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,41.8,42.32962912,42.8,27,27,,,,,,14,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,
2009,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.5,42.59599976,42.9,25,25,,,,,,4,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
2010,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.4,42.46000137,42.7,10,10,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
2011,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.8,42.81999969,42.9,5,5,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2012,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,20.8,20.8,20.8,41.4,41.57142966,42.6,7,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2013,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,21.3,21.35185185,21.4,41.4,42.26296347,42.5,27,27,,,,,1,16,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
2014,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,20.8,21.04864865,21.1,42.3,42.68378345,43,37,37,,,,,,8,,,,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,23,,,,,
2015,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,23.1,23.11666667,23.2,42.5,42.56666565,42.6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,
2016,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.2,42.54375076,42.9,16,16,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
2017,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.5,42.82799957,43,25,25,,,,,,,,1,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
2018,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.1,42.84999847,43.6,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,South Coast,298,32 36.660,117 17.068,4.4,3.80,3.80,878,TRUE,TRUE,TRUE,TRUE,,,,42.1,42.34999847,42.6,4,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2004,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.9,24.27999992,24.5,15,15,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
2007,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.4,23.81176432,23.9,34,34,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,18,,,,,
2008,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,27.2,27.20000076,27.2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.3,23.39999948,23.8,14,14,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
2010,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.5,23.72499943,23.8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2011,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.3,23.8499999,24.1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2012,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,20.2,20.2875,20.4,23.5,23.61250019,23.8,8,8,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,
2013,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,20.9,21.03333333,21.8,23.2,23.82500045,24.3,12,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
2014,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,20.4,20.4,20.4,23.5,23.76666641,23.9,3,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2015,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,22.5,22.725,22.8,23.6,23.75000048,24,4,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.9,24.36999989,24.8,20,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
2017,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,22.5,23.37999992,24.1,15,15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
2018,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.9,24.06666692,24.1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2019,South Coast,299,32 36.700,117 15.000,3.4,3.20,3.20,878,TRUE,TRUE,TRUE,TRUE,,,,23.1,23.69090965,24.2,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
2008,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,41.4,44.38378432,47.4,37,37,,,,,,2,,,,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,
2010,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,37.4,38.64545579,40.9,11,11,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2011,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,42.2,46.04545437,50.1,22,22,,,,,,16,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
2012,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,19.1,19.23333333,19.3,36.2,37.55555598,40.8,9,9,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2013,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,18.1,18.22,18.3,40.8,43.97999954,47.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,23.5,23.88333333,24,36.7,38.48888863,40.2,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,2,,,,,
2015,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,22.1,22.16666667,22.3,37.7,40.11666552,43.1,6,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,
2016,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,38.9,41.40909091,44.1,11,11,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,1,,,,,2,,,,,
2017,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,43.7,49.85199982,52.3,25,25,,,,,,5,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,12,,,,,
2018,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,35.9,40.77333412,45.9,30,30,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,9,,,,,
2019,San Pedro Bay,304,33 39.810,118 16.550,3.1,2.60,2.60,740,TRUE,TRUE,TRUE,TRUE,,,,43.6,49.14545406,50,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,6,,,,,
2005,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45,45,45,28,28,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,,,,,
2006,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,44.6,44.98571341,45.3,42,42,,,,,,23,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,2,,,,,
2007,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,44.9,45.05999908,45.1,5,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2008,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45.1,45.63749886,45.8,16,16,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,3,,,,1,,,,,2,,,1,,
2009,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,44.9,45.375,45.5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
2010,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45.9,45.97500134,46.2,4,4,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45.2,45.68333276,46.1,24,24,,,,,,21,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
2012,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,21.4,21.5,21.7,44.5,45.02857099,45.6,7,7,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
2014,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,22.8,22.86060606,22.9,45,45.48787909,45.9,33,33,,,,,,6,,,,,,,,,,3,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,11,,,,,
2015,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,22,22,22,44,45.65806457,46.4,31,31,,,,,,9,,,,,,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,3,,,3,,,,,,9,,,,,
2016,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,44.9,45.49599945,46,25,25,,,,,,2,,,,,,,,,,,1,,1,1,,,,,,,,10,,,,,,,,,,,,,,,,,1,,,,,,1,,,6,,,,,,2,,,,,
2017,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45.1,45.71499901,46.1,20,20,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,1,,,,,,,,,,,3,,,,,,,,3,,,,,,4,,,,,
2018,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,44.8,45.65609797,46.4,41,41,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,6,,,,,,,,22,,,,,,2,,,,,
2019,San Pedro Bay,315,33 35.990,118 15.910,6.4,6.50,6.50,740,TRUE,TRUE,TRUE,TRUE,,,,45.3,45.86666552,46.6,12,12,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1,,,,,
2005,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.2,43.71111128,44.6,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,
2007,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.5,43.79999924,44.1,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2008,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,44,44.47499943,45.3,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,
2009,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.2,43.89090867,44.1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2010,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,44.1,44.25000019,44.4,20,20,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,
2011,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.6,43.76428568,43.9,42,42,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,
2012,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,21.3,21.375,21.4,43.9,44.37500095,44.7,4,4,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2013,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,19.5,19.5,19.5,44.1,44.09999847,44.1,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,22.9,22.9,22.9,42.8,44.18571527,44.4,14,14,,,,,1,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
2015,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,22,22.03421053,22.1,43.1,43.42105163,47.4,38,38,,,,,,3,,,,,,,,,,3,2,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,1,,,15,,,,,,8,,,,,
2016,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.4,43.83529394,44.1,34,34,,,,,,4,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,1,,,,,
2018,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,43.9,44.39428591,45,35,35,,,,,,2,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,3,,,,,
2019,San Pedro Bay,317,33 35.740,118 15.490,6.8,6.80,6.80,740,TRUE,TRUE,TRUE,TRUE,,,,44,44.19583257,44.6,24,24,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,1,3,,,,,,,,6,,,,,,3,,,,,
2004,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,39.7,41.88333448,43.2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
2005,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42,42,42,49,49,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,44,,,,,
2006,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42,42.19230769,43,26,26,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,22,,,,,
2007,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.9,43.60909063,44.1,22,22,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,
2008,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.7,43.35555543,45,18,18,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
2009,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.4,42.56666692,42.8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,
2010,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,43,43.41249895,43.6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,4,,,,,
2011,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.9,43.24857189,43.5,35,35,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,
2012,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,21.3,21.325,21.4,41.8,42.10000038,42.2,4,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,
2013,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,20.6,20.89166667,21.3,42.1,42.94999949,43.8,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
2014,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,22.9,22.9,22.9,41.2,41.89285714,42.3,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
2015,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,23.2,23.2,23.2,40.5,40.88095165,41.3,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
2016,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,43.1,43.39999898,44,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,
2017,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.6,42.7571422,43.5,7,7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2018,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.9,43.0833346,44,12,12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
2019,San Pedro Bay,318,33 35.140,118 13.720,7.5,7.90,7.90,740,TRUE,TRUE,TRUE,TRUE,,,,42.1,42.25714275,42.5,14,14,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,
2004,San Pedro Bay,326,33 34.340,118 08.530,9.8,8.40,8.40,739,TRUE,TRUE,TRUE,TRUE,,,,45.9,46.69047583,47,21,21,,,,,,14,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,
2005,San Pedro Bay,326,33 34.340,118 08.530,9.8,8.40,8.40,739,TRUE,TRUE,TRUE,TRUE,,,,45.5,45.85294118,46,17,17,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2006,San Pedro Bay,326,33 34.340,118 08.530,9.8,8.40,8.40,739,TRUE,TRUE,TRUE,TRUE,,,,45.4,46.37692319,46.8,13,13,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,3,,,,,
